time,velocity,vertical_velocity,altitude,vertical_velocity_2,altitude_2,air_density,pitch,temperature,phi,theta,baro_height
0.162850,0.232080,0.020063,0.702700,0.000000,0.000000,1.225000,0.086556,32.000000,-0.165267,0.086556,0.708297
0.398791,-0.044624,-0.021142,0.036148,0.000000,0.000000,1.225000,0.493572,32.000000,-0.934885,0.493572,0.030852
0.562092,0.231519,0.095692,4.101491,0.000000,0.000000,1.225000,0.426098,32.000000,-0.675004,0.426098,4.133895
0.754745,-0.121977,-0.050564,0.498607,0.000000,0.000000,1.225000,0.427438,32.000000,-0.796514,0.427438,0.469852
0.917600,-0.013864,-0.005552,2.066834,0.000000,0.000000,1.225000,0.411987,32.000000,-0.844679,0.411987,2.079390
1.118188,-0.076236,-0.029830,1.512658,0.000000,0.000000,1.225000,0.402030,32.000000,-0.910394,0.402030,1.508270
1.313680,-0.133114,-0.050933,0.999864,0.000000,0.000000,1.225000,0.392641,32.000000,-0.972500,0.392641,0.995840
1.473838,-0.090412,-0.033713,1.615947,0.000000,0.000000,1.225000,0.382109,32.000000,-1.044630,0.382109,1.620919
1.662733,0.082363,0.030261,3.259341,0.000000,0.000000,1.225000,0.376231,32.000000,-1.102480,0.376231,3.272447
1.856711,-0.072547,-0.026087,1.889635,0.000000,0.000000,1.225000,0.367824,32.000000,-1.156936,0.367824,1.878714
2.011877,-0.102515,-0.036055,1.499887,0.000000,0.000000,1.225000,0.359389,32.000000,-1.204891,0.359389,1.496814
2.215074,-0.057331,-0.019923,1.850367,0.000000,0.000000,1.225000,0.354907,32.000000,-1.246326,0.354907,1.853205
2.404151,-0.018329,-0.006282,2.197671,0.000000,0.000000,1.225000,0.349822,32.000000,-1.270079,0.349822,2.200459
2.564735,-0.298103,-0.101167,-1.224076,0.000000,0.000000,1.225000,0.346246,32.000000,-1.281793,0.346246,-1.251325
2.756703,0.014768,0.004973,1.403917,0.000000,0.000000,1.225000,0.343429,32.000000,-1.284679,0.343429,1.424940
2.918138,0.060411,0.020127,1.945140,0.000000,0.000000,1.225000,0.339662,32.000000,-1.290522,0.339662,1.949444
3.115092,0.241781,0.080824,3.384979,0.000000,0.000000,1.225000,0.340850,32.000000,-1.273238,0.340850,3.396374
3.308433,0.078325,0.026154,2.056901,0.000000,0.000000,1.225000,0.340459,32.000000,-1.269785,0.340459,2.046232
3.512761,-0.076362,-0.026333,0.911372,0.000000,0.000000,1.225000,0.352069,32.000000,-1.227771,0.352069,0.902247
3.672737,0.001398,0.000473,1.881131,0.000000,0.000000,1.225000,0.345485,32.000000,-1.238057,0.345485,1.888890
3.866980,0.094102,0.032004,2.648779,0.000000,0.000000,1.225000,0.347017,32.000000,-1.220706,0.347017,2.654873
4.027146,-0.006842,-0.002346,1.408908,0.000000,0.000000,1.225000,0.349913,32.000000,-1.208666,0.349913,1.398990
4.195450,0.069689,0.024237,2.278424,0.000000,0.000000,1.225000,0.355213,32.000000,-1.188576,0.355213,2.285349
4.357762,0.026532,0.009545,1.764243,0.000000,0.000000,1.225000,0.368001,32.000000,-1.148421,0.368001,1.760116
4.520899,0.120326,0.044693,2.992404,0.000000,0.000000,1.225000,0.380552,32.000000,-1.117461,0.380552,3.002173
4.756245,-0.033014,-0.012537,2.065684,0.000000,0.000000,1.225000,0.389541,32.000000,-1.093689,0.389541,2.058288
4.946793,0.043545,0.017670,2.828385,0.000000,0.000000,1.225000,0.417831,32.000000,-1.025086,0.417831,2.834462
5.112982,0.035139,0.014478,2.724122,0.000000,0.000000,1.225000,0.424670,32.000000,-1.015290,0.424670,2.723269
5.346920,-0.085677,-0.035656,1.896249,0.000000,0.000000,1.225000,0.429226,32.000000,-0.999047,0.429226,1.889688
5.536138,0.174793,0.070374,4.614189,0.000000,0.000000,1.225000,0.414372,32.000000,-1.030224,0.414372,4.635833
5.696791,-0.000020,-0.000008,2.090365,0.000000,0.000000,1.225000,0.424900,32.000000,-1.002885,0.424900,2.070171
5.888967,0.042013,0.019659,2.579820,0.000000,0.000000,1.225000,0.486944,32.000000,-0.883049,0.486944,2.583707
6.163444,-0.150573,-0.085571,1.329856,0.000000,0.000000,1.225000,0.604444,32.000000,-0.619454,0.604444,1.320031
6.368037,-0.057654,-0.029313,2.542615,0.000000,0.000000,1.225000,0.533350,32.000000,-0.741726,0.533350,2.552369
6.563103,-0.251920,-0.125675,0.211504,0.000000,0.000000,1.225000,0.522292,32.000000,-0.797325,0.522292,0.193045
6.723831,-0.224850,-0.106394,0.885140,0.000000,0.000000,1.225000,0.492892,32.000000,-0.852484,0.492892,0.890667
6.914800,-0.222054,-0.103607,0.935078,0.000000,0.000000,1.225000,0.485425,32.000000,-0.854274,0.485425,0.935636
7.156326,-0.196988,-0.088132,1.150291,0.000000,0.000000,1.225000,0.463851,32.000000,-0.908822,0.463851,1.152185
7.317822,-0.118845,-0.057550,2.225761,0.000000,0.000000,1.225000,0.505501,32.000000,-0.818228,0.505501,2.234441
7.510963,-0.077580,-0.037463,2.709414,0.000000,0.000000,1.225000,0.503958,32.000000,-0.818139,0.503958,2.713343
7.744893,-0.154553,-0.072727,2.115904,0.000000,0.000000,1.225000,0.489931,32.000000,-0.834885,0.489931,2.111288
7.937313,-0.173286,-0.080498,1.909026,0.000000,0.000000,1.225000,0.483113,32.000000,-0.848578,0.483113,1.907495
8.100848,-0.223123,-0.100647,1.196247,0.000000,0.000000,1.225000,0.467976,32.000000,-0.889916,0.467976,1.190675
8.341780,-0.161784,-0.074486,1.580185,0.000000,0.000000,1.225000,0.478448,32.000000,-0.865576,0.478448,1.583403
8.503062,-0.120608,-0.058049,2.155454,0.000000,0.000000,1.225000,0.502142,32.000000,-0.808270,0.502142,2.160132
8.699817,-0.084035,-0.039104,2.593135,0.000000,0.000000,1.225000,0.484010,32.000000,-0.802001,0.484010,2.596699
8.929401,-0.024063,-0.010995,3.068655,0.000000,0.000000,1.225000,0.474535,32.000000,-0.882073,0.474535,3.072482
9.103369,-0.111980,-0.050676,1.853909,0.000000,0.000000,1.225000,0.469615,32.000000,-0.886782,0.469615,1.844260
